id,name,type,state,total_shootings
1296,Tigard Police Department,local_police,OR,2
3381,Tillamook County Sheriff's Office,sheriff,OR,2
2507,Timberville Police Department,local_police,VA,2
889,Tippecanoe County Sheriff's Department,sheriff,IN,2
3390,Tipton County Sheriff's Office,sheriff,TN,3
1119,Tishomingo County Sheriff's Office,sheriff,MS,1
2153,Tishomingo Polce Department,local_police,OK,1
1444,Titusville Police Department,local_police,FL,3
1308,Tiverton Police Department,local_police,RI,1
3510,Toccoa Police Department,local_police,GA,1
1867,Toledo Police Department,local_police,OH,12
574,Tomball Police Department,local_police,TX,1
1689,Toms River Police Department,local_police,NJ,1
1673,Tooele County Sheriff's Department,sheriff,UT,1
2917,Tooele Police Department,local_police,UT,1
259,Topeka Police Department,local_police,KS,8
2502,Toppenish Police Department,local_police,WA,1
3391,Topsham Police Department,local_police,ME,1
3278,Torrance County Sheriff's Office,sheriff,NM,4
1507,Torrance Police Department,local_police,CA,6
3635,Town of Niagara Police Department,local_police,NY,1
3137,Town of Wallkill Police Department,local_police,NY,1
25933,Trainer Borough Police Department,local_police,PA,1
25,Transylvania County Sheriff's Department,sheriff,NC,1
3574,Travis County Sheriff's Office,sheriff,TX,3
533,Trenton Police Department,local_police,MI,1
2216,Trenton Police Department,local_police,NJ,2
2925,Trigg County Sheriff's Office,sheriff,KY,1
435,Trinidad Police Department,local_police,CO,4
3120,Trinity County Sheriff's Office,sheriff,CA,1
1472,Trinity County Sheriff's Office,sheriff,TX,1
1819,Trotwood Police Department,local_police,OH,2
2209,Troup County Sheriff's Office,sheriff,GA,3
2143,Troy Police Department,local_police,MI,1
738,Troy Police Department,local_police,NY,2
2261,Trumann Police Department,local_police,AR,1
649,Trumbull County Sheriff's Office,sheriff,OH,2
1276,Tualatin Police Department,local_police,OR,2
397,Tucson Police Department,local_police,AZ,41
2219,Tucumcari Police Department,local_police,NM,1
1404,Tukwila Police Department,local_police,WA,1
873,Tulare County Sheriff's Department,sheriff,CA,11
2106,Tulare Police Department,local_police,CA,2
2707,Tularosa Police Department,local_police,NM,1
2364,Tullahoma Police Department,local_police,TN,1
46,Tulsa County Sheriff's Office,sheriff,OK,2
1313,Tulsa Police Department,local_police,OK,37
2817,Tuolumne County Sheriff's Office,sheriff,CA,4
1302,Tupelo Police Department,local_police,MS,3
26077,Tuscaloosa County Sheriff's Office,sheriff,AL,2
734,Tuscaloosa Police Department,local_police,AL,4
3629,Tuscarawas County Sheriff's Office,sheriff,OH,3
2737,Tuscumbia Police Department,local_police,AL,3
1741,Tustin Police Department,local_police,CA,3
3604,Twin Falls County Sheriff's Office,sheriff,ID,3
26101,Twin Falls Police Department,local_police,ID,1
758,Twinsburg Police Department,local_police,OH,1
2622,Two Rivers Police Department,local_police,WI,1
26118,Tyler County Sheriff's Office,sheriff,TX,1
2940,Tyler Junior College Police Department,local_other,TX,1
902,UC Merced Police Department,local_other,CA,1
26348,Uintah County Sheriff's Office,sheriff,UT,1
